VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
104	WM9	SET	90	-0.070942	-0.0048883	0.085274	0.79727	BIP_2018
105	WM1	SET	213	0.0030593	0.00034174	0.058996	0.47932	EPILEPSY_2018
106	WM10	SET	353	-0.033725	-0.0048294	0.046484	0.76592	EPILEPSY_2018
107	WM11	SET	196	-0.036608	-0.0039247	0.05715	0.73909	EPILEPSY_2018
108	WM12	SET	114	0.033254	0.0027257	0.084983	0.34779	EPILEPSY_2018
109	WM13	SET	103	0.0027119	0.00021136	0.083394	0.48703	EPILEPSY_2018
110	WM14	SET	89	0.028024	0.0020311	0.085177	0.37108	EPILEPSY_2018
111	WM15	SET	95	-0.038425	-0.0028767	0.090188	0.66496	EPILEPSY_2018
112	WM16	SET	212	-0.043567	-0.0048554	0.059944	0.76632	EPILEPSY_2018
113	WM17	SET	118	-0.058154	-0.0048489	0.075348	0.77988	EPILEPSY_2018
114	WM18	SET	84	0.16673	0.011741	0.09344	0.037194	EPILEPSY_2018
115	WM19	SET	194	-0.077238	-0.0082389	0.057102	0.9119	EPILEPSY_2018
116	WM2	SET	392	0.04992	0.0075242	0.040786	0.1105	EPILEPSY_2018
117	WM20	SET	203	0.15708	0.017135	0.060656	0.0048091	EPILEPSY_2018
118	WM21	SET	345	0.068666	0.0097231	0.048387	0.077948	EPILEPSY_2018
119	WM22	SET	86	-0.069205	-0.0049309	0.089958	0.77914	EPILEPSY_2018
120	WM23	SET	120	0.057636	0.0048459	0.075061	0.22129	EPILEPSY_2018
121	WM24	SET	137	0.028991	0.0026032	0.075955	0.35135	EPILEPSY_2018
122	WM25	SET	856	0.052097	0.011439	0.029096	0.036698	EPILEPSY_2018
123	WM26	SET	386	-0.073557	-0.011004	0.043916	0.95302	EPILEPSY_2018
124	WM3	SET	449	0.0064726	0.0010423	0.041882	0.43859	EPILEPSY_2018
125	WM4	SET	128	-0.03795	-0.0032947	0.083604	0.67506	EPILEPSY_2018
126	WM5	SET	73	0.11167	0.0073333	0.093601	0.11644	EPILEPSY_2018
127	WM6	SET	73	0.087423	0.0057411	0.095218	0.17928	EPILEPSY_2018
128	WM7	SET	78	0.025896	0.0017576	0.10449	0.40213	EPILEPSY_2018
129	WM8	SET	86	-0.046753	-0.0033311	0.085359	0.70805	EPILEPSY_2018
