Gene	cluster
TMTC2	Cluster_10
PLCL1	Cluster_10
MTUS1	Cluster_10
EDIL3	Cluster_10
ERBIN	Cluster_10
CHD7	Cluster_10
KIF13B	Cluster_10
DOCK1	Cluster_10
PLP1	Cluster_10
GAB1	Cluster_10
SYNJ2	Cluster_10
FRYL	Cluster_10
ZNF536	Cluster_10
ABCA2	Cluster_10
ATG4C	Cluster_10
TCF12	Cluster_10
ZFYVE16	Cluster_10
ADIPOR2	Cluster_10
CDK19	Cluster_10
DNAJC6	Cluster_10
PHLPP1	Cluster_10
FUT8	Cluster_10
ZEB2	Cluster_10
TTLL7	Cluster_10
SEMA4D	Cluster_10
SLCO3A1	Cluster_10
HIPK2	Cluster_10
DLG1	Cluster_10
TRIM2	Cluster_10
PREX1	Cluster_10
SPOCK3	Cluster_10
ARHGAP21	Cluster_10
ENOX2	Cluster_10
SEPT7	Cluster_10
MYO1D	Cluster_10
APBB2	Cluster_10
PSEN1	Cluster_10
MOB3B	Cluster_10
RYBP	Cluster_10
ARAP2	Cluster_10
PIK3C2B	Cluster_10
PDE1C	Cluster_10
MAP4K4	Cluster_10
JAM3	Cluster_10
ST6GALNAC3	Cluster_10
LPGAT1	Cluster_10
NPC1	Cluster_10
COLGALT2	Cluster_10
ANO4	Cluster_10
KLHL32	Cluster_10
ZBTB20	Cluster_10
ZNF708	Cluster_10
GAB2	Cluster_10
QDPR	Cluster_10
KANK1	Cluster_10
RAD51B	Cluster_10
NCOA7	Cluster_10
FAM13C	Cluster_10
PLXDC2	Cluster_10
SEC14L5	Cluster_10
LIPA	Cluster_10
SPATA6	Cluster_10
LANCL1	Cluster_10
AGPAT4	Cluster_10
SH3D19	Cluster_10
DLC1	Cluster_10
HS3ST5	Cluster_10
PICALM	Cluster_10
GNG7	Cluster_10
PTPRK	Cluster_10
CNTNAP4	Cluster_10
GRM3	Cluster_10
COBL	Cluster_10
PTBP2	Cluster_10
SCD5	Cluster_10
RBPJ	Cluster_10
RTN4	Cluster_10
PLPPR1	Cluster_10
ZNF652	Cluster_10
SH3GL3	Cluster_10
MBNL2	Cluster_10
TMEFF2	Cluster_10
SLC22A15	Cluster_10
ALCAM	Cluster_10
CPQ	Cluster_10
KIAA1324L	Cluster_10
IQGAP1	Cluster_10
KCNMB4	Cluster_10
KIF13A	Cluster_10
ANKRD44	Cluster_10
PSME4	Cluster_10
CDK6	Cluster_10
SORT1	Cluster_10
PPP2R2A	Cluster_10
BIN1	Cluster_10
SGMS1	Cluster_10
BBX	Cluster_10
ELF2	Cluster_10
SGK3	Cluster_10
P2RX7	Cluster_10
CALD1	Cluster_10
PPM1H	Cluster_10
