Gene	cluster
GNAO1	Oligo_L1-6_OPALIN_NA
ADAM10	Oligo_L1-6_OPALIN_NA
FBN1	Oligo_L1-6_OPALIN_NA
ZC3H13	Oligo_L1-6_OPALIN_NA
PAPD4	Oligo_L1-6_OPALIN_NA
AGTPBP1	Oligo_L1-6_OPALIN_NA
ZZZ3	Oligo_L1-6_OPALIN_NA
DOCK9	Oligo_L1-6_OPALIN_NA
C16orf62	Oligo_L1-6_OPALIN_NA
TOGARAM1	Oligo_L1-6_OPALIN_NA
LCOR	Oligo_L1-6_OPALIN_NA
AK5	Oligo_L1-6_OPALIN_NA
DSCAML1	Oligo_L1-6_OPALIN_NA
CRADD	Oligo_L1-6_OPALIN_NA
PLEKHA1	Oligo_L1-6_OPALIN_NA
MTMR7	Oligo_L1-6_OPALIN_NA
BACH2	Oligo_L1-6_OPALIN_NA
TRPC4AP	Oligo_L1-6_OPALIN_NA
NLK	Oligo_L1-6_OPALIN_NA
RPS6KA5	Oligo_L1-6_OPALIN_NA
GAS7	Oligo_L1-6_OPALIN_NA
PPP1R12B	Oligo_L1-6_OPALIN_NA
PLPP1	Oligo_L1-6_OPALIN_NA
KIF2A	Oligo_L1-6_OPALIN_NA
KAT6A	Oligo_L1-6_OPALIN_NA
GPBP1	Oligo_L1-6_OPALIN_NA
TBL1XR1	Oligo_L1-6_OPALIN_NA
KCTD8	Oligo_L1-6_OPALIN_NA
LRRFIP2	Oligo_L1-6_OPALIN_NA
MON2	Oligo_L1-6_OPALIN_NA
VMP1	Oligo_L1-6_OPALIN_NA
AMBRA1	Oligo_L1-6_OPALIN_NA
KMT2C	Oligo_L1-6_OPALIN_NA
CEP170	Oligo_L1-6_OPALIN_NA
MAP4	Oligo_L1-6_OPALIN_NA
CNOT2	Oligo_L1-6_OPALIN_NA
MLLT4	Oligo_L1-6_OPALIN_NA
SPECC1	Oligo_L1-6_OPALIN_NA
SESTD1	Oligo_L1-6_OPALIN_NA
SLC4A8	Oligo_L1-6_OPALIN_NA
RAP1GDS1	Oligo_L1-6_OPALIN_NA
SYNDIG1	Oligo_L1-6_OPALIN_NA
LRCH3	Oligo_L1-6_OPALIN_NA
FOXN3	Oligo_L1-6_OPALIN_NA
CDC42SE2	Oligo_L1-6_OPALIN_NA
RALGAPA1	Oligo_L1-6_OPALIN_NA
CLIP2	Oligo_L1-6_OPALIN_NA
EVI5	Oligo_L1-6_OPALIN_NA
STK39	Oligo_L1-6_OPALIN_NA
REPS2	Oligo_L1-6_OPALIN_NA
WNK1	Oligo_L1-6_OPALIN_NA
THOC2	Oligo_L1-6_OPALIN_NA
GALNT13	Oligo_L1-6_OPALIN_NA
