Gene	ModuleColor	kWithin	ModuleName
ARF1	blue	58.5934483270708	WM2
ARFGAP1	blue	40.5392553548065	WM2
ARL8A	blue	36.3380279645434	WM2
ARPC1A	blue	29.2342887891655	WM2
ARRB2	blue	14.3343399329133	WM2
ASB1	blue	17.5697982148743	WM2
ASH2L	blue	14.934329307287	WM2
ASNA1	blue	51.8545114986504	WM2
ATF4	blue	24.2471640977692	WM2
ATG9A	blue	40.3807669348978	WM2
ATP2A2	blue	15.5301253474747	WM2
ATP5A1	blue	21.9887283170418	WM2
ATP5B	blue	44.2871989184433	WM2
ATP6V0D1	blue	17.1852305933345	WM2
ATP6V0E2	blue	72.4500051532568	WM2
ATP6V1B2	blue	34.3066185428309	WM2
AUP1	blue	47.7019057738127	WM2
B4GALT2	blue	19.5641575675072	WM2
BCL7B	blue	10.6745252733702	WM2
BET1L	blue	13.4602120328514	WM2
BRI3BP	blue	41.8962801182618	WM2
BSDC1	blue	14.3958848073669	WM2
C11orf68	blue	37.6065861855209	WM2
C12orf10	blue	58.5361640757132	WM2
C12orf43	blue	15.6863221558741	WM2
C12orf57	blue	19.5679569594647	WM2
C16orf13	blue	44.2556587104268	WM2
C19orf43	blue	57.7801768040367	WM2
C19orf70	blue	3.03533351948089	WM2
C1orf233	blue	30.2492706899711	WM2
C2CD2L	blue	33.714492030142	WM2
C3orf18	blue	5.55072624845185	WM2
C6orf1	blue	36.4057260775146	WM2
C6orf136	blue	13.3501871601608	WM2
C6orf89	blue	34.9060600095717	WM2
C7orf43	blue	12.4368534251724	WM2
C9orf16	blue	31.0075006847311	WM2
C9orf69	blue	33.6714905200031	WM2
CALR	blue	9.11917481029925	WM2
CAP1	blue	31.0401333257728	WM2
CAP2	blue	18.1576409225084	WM2
CAPRIN1	blue	19.3730391621347	WM2
CASKIN1	blue	37.1270112185371	WM2
CCDC184	blue	10.1376819292422	WM2
CCK	blue	26.6377448912186	WM2
CCT3	blue	25.7110958448469	WM2
CDIPT	blue	24.8317309061954	WM2
CDK16	blue	51.2759051083547	WM2
CDK20	blue	12.7517674473113	WM2
CDK5	blue	37.5368954144978	WM2
CDK5R1	blue	30.3207375680638	WM2
CDK5R2	blue	33.8265264426149	WM2
CDK9	blue	35.9601777014908	WM2
CDKN2D	blue	24.6506011365795	WM2
CDS2	blue	28.1203931560161	WM2
CERK	blue	39.8078210984731	WM2
CFAP20	blue	10.5046073266845	WM2
CHCHD10	blue	24.003100635412	WM2
CHMP7	blue	15.607505156113	WM2
CHPF	blue	24.6279184684494	WM2
CHRM4	blue	26.8930696854911	WM2
CHST1	blue	40.1680202076949	WM2
CHST10	blue	23.1061124123219	WM2
CHTF8	blue	3.39366367200327	WM2
CIAO1	blue	30.9244515205353	WM2
CLCN6	blue	41.4347740173647	WM2
CLPTM1	blue	35.4771864848207	WM2
CLPTM1L	blue	27.286871447973	WM2
COA3	blue	26.5607989900795	WM2
COPS6	blue	38.5165494231354	WM2
COPS7A	blue	39.0105142066776	WM2
COX6B1	blue	52.1694467430305	WM2
CPT1C	blue	48.7359940252478	WM2
CRAT	blue	35.0676361042253	WM2
CRCP	blue	22.1551143111623	WM2
CREB3	blue	14.013704432786	WM2
CRIP2	blue	42.1637804029483	WM2
CRKL	blue	12.9321500299491	WM2
CSNK2A1	blue	15.097940132559	WM2
CSRNP2	blue	24.7893664711676	WM2
CTSD	blue	7.77229096625923	WM2
CTSF	blue	60.4002064817937	WM2
CTXN1	blue	10.3917727669529	WM2
CYC1	blue	67.7822899284027	WM2
DACT3	blue	10.3125512229335	WM2
DCTN3	blue	30.9509551713316	WM2
DCTN5	blue	21.2433099335539	WM2
DCTPP1	blue	19.9635915480297	WM2
DDN	blue	13.1521280235065	WM2
DDOST	blue	66.1357929395422	WM2
DDX41	blue	47.6571588714801	WM2
DDX56	blue	32.9037470845007	WM2
DESI1	blue	64.0802349934583	WM2
DHCR24	blue	24.5905251781072	WM2
DHPS	blue	47.0392711157192	WM2
DIRAS1	blue	13.5067592522831	WM2
DKK3	blue	44.7924693728254	WM2
DNAJC18	blue	22.9200373267645	WM2
DNAJC30	blue	22.2792572935131	WM2
DOC2A	blue	43.9338067979818	WM2
DOLPP1	blue	39.5141622127226	WM2
DPYSL2	blue	25.3114741300435	WM2
DUSP3	blue	23.5890453537163	WM2
DUSP7	blue	16.1912993343554	WM2
DVL1	blue	20.9550653569367	WM2
DXO	blue	51.3132533183171	WM2
DYNLRB1	blue	28.9109940006835	WM2
EDF1	blue	19.7925459737329	WM2
EFHD2	blue	35.7224490884211	WM2
EFNB3	blue	35.8566566960955	WM2
EFTUD2	blue	8.10573580855558	WM2
EIF3G	blue	40.8178912388087	WM2
EIF3I	blue	24.4724159259199	WM2
EIF3L	blue	41.1959369993054	WM2
EIF5A	blue	64.2613914599072	WM2
EIF6	blue	9.36012608216586	WM2
ELAC2	blue	35.0758211290305	WM2
ELAVL3	blue	6.58881897880605	WM2
ELOF1	blue	7.0475752731078	WM2
ELP5	blue	22.5425248726404	WM2
EMC1	blue	27.2776538385166	WM2
ENTPD6	blue	77.0787545109773	WM2
ERAL1	blue	27.7362315026287	WM2
ETNK2	blue	12.2250394741559	WM2
EXOC3	blue	9.51741331689147	WM2
FABP3	blue	31.8086169080021	WM2
FADS2	blue	19.8148815984185	WM2
FAM127A	blue	10.8321565171484	WM2
FAM131B	blue	61.6384258144997	WM2
FAM213B	blue	34.8609702622485	WM2
FAM214B	blue	7.96530492688876	WM2
FAM234B	blue	8.68785195656603	WM2
FAM32A	blue	25.3225907265924	WM2
FAM49A	blue	15.3926918929983	WM2
FAM53C	blue	51.8888768062031	WM2
FBXO2	blue	45.7227101327695	WM2
FBXO44	blue	63.4587214918618	WM2
FBXW5	blue	23.3338500175121	WM2
FN3KRP	blue	6.6650942800212	WM2
FNDC5	blue	19.7428338866666	WM2
FOXRED2	blue	16.0307190502634	WM2
FSCN1	blue	38.3600314037763	WM2
FTL	blue	27.1474734596516	WM2
GABARAPL1	blue	23.5195932823348	WM2
GAMT	blue	8.36850645951008	WM2
GAPDH	blue	79.1446592301845	WM2
GAS2L1	blue	15.6152120321828	WM2
GBA	blue	19.5869794667894	WM2
GID8	blue	4.98615859246465	WM2
GIT1	blue	23.1406009896494	WM2
GMPR2	blue	10.4921987527271	WM2
GNAI2	blue	29.8866192717052	WM2
GNB1	blue	49.851907658286	WM2
GNB2L1	blue	38.1520546742339	WM2
GNG3	blue	47.7683738998114	WM2
GOT1	blue	54.5469609588703	WM2
GOT2	blue	35.5852806430836	WM2
GPS1	blue	30.4028929896115	WM2
GPX4	blue	64.3335331072064	WM2
GRHPR	blue	13.6829121704677	WM2
GRINA	blue	38.2541760394371	WM2
GRN	blue	22.9913921322932	WM2
GSK3A	blue	26.9897936663966	WM2
GSR	blue	22.243361522915	WM2
GSTP1	blue	14.1678352215256	WM2
GUK1	blue	46.2817403050426	WM2
H2AFX	blue	41.9889041016536	WM2
HAX1	blue	23.1012470482753	WM2
HDGF	blue	41.4647233894148	WM2
HDHD3	blue	22.1676695298211	WM2
HECTD3	blue	10.3577782066893	WM2
HIST1H2AE	blue	18.1322483303487	WM2
HPCA	blue	53.2220485608584	WM2
HPCAL4	blue	13.9378724175193	WM2
HTRA2	blue	22.0685317780307	WM2
IDH3B	blue	21.5840580498397	WM2
IDH3G	blue	44.4729934071087	WM2
IGFBP6	blue	9.61743734140118	WM2
INPPL1	blue	22.2763864508822	WM2
INTS5	blue	25.5310968458375	WM2
ISLR2	blue	10.3502580704329	WM2
